"SchemeCode","CritCode"
"200,160","7,100"
"200,160","8,100"
"200,170",34
"200,170",60
"200,170",64
"200,170",68
"200,170","4,000"
"200,170","5,000"
"200,170","5,025"
"200,170","5,043"
"200,170","5,046"
"200,170","5,167"
"200,170","5,184"
"200,170","6,101"
"200,170","6,103"
"200,170","6,105"
"200,170","6,106"
"200,170","6,107"
"200,170","6,108"
"200,170","6,109"
"200,170","6,110"
"200,170","6,111"
"200,170","6,112"
"200,170","6,113"
"200,170","6,114"
"200,170","6,600"
"200,170","7,100"
"200,170","8,100"
"200,172",6
"200,172",21
"200,172",26
"200,172",28
"200,172",29
"200,172",32
"200,172",41
"200,172",43
"200,172",45
"200,172",48
"200,172",52
"200,172",55
"200,172",61
"200,172",70
"200,172",71
"200,172","4,000"
"200,172","5,024"
"200,172","5,025"
"200,172","5,027"
"200,172","5,043"
"200,172","5,044"
"200,172","5,074"
"200,172","5,245"
"200,173",52
"200,173","4,016"
"200,173","4,045"
"200,173","4,122"
"200,173","4,195"
"200,173","5,005"
"200,173","5,025"
"200,173","5,043"
"200,173","5,196"
"200,173","5,245"
"200,173","6,100"
"200,173","6,600"
"200,173","7,101"
"200,173","7,102"
"200,173","8,100"
"200,175",18
"200,175",20
"200,175",33
"200,175",40
"200,175",48
"200,175",51
"200,175",59
"200,175",62
"200,175",65
"200,175",69
"200,175","4,000"
"200,175","5,005"
"200,175","5,024"
"200,175","5,025"
"200,175","5,026"
"200,175","5,043"
"200,175","5,046"
"200,175","5,053"
"200,175","5,074"
"200,175","5,076"
"200,175","5,085"
"200,175","5,167"
"200,175","5,196"
"200,175","5,245"
"200,175","6,103"
"200,175","6,600"
"200,175","7,100"
"200,175","8,100"
"200,178",1
"200,178","4,006"
"200,178","4,195"
"200,178","5,005"
"200,187",2
"200,187",34
"200,187",60
"200,187",64
"200,187","4,016"
"200,187","4,025"
"200,187","4,174"
"200,187","4,195"
"200,187","5,025"
"200,187","5,043"
"200,187","5,044"
"200,187","5,045"
"200,187","5,074"
"200,187","5,164"
"200,187","5,245"
"200,191",32
"200,191","4,003"
"200,191","4,016"
"200,191","4,025"
"200,191","4,045"
"200,191","4,122"
"200,191","4,157"
"200,191","4,174"
"200,191","4,184"
"200,191","4,195"
"200,191","5,043"
"200,191","5,245"
"200,196",1
"200,196","4,174"
"200,196","5,133"
"200,196","5,161"
"200,196","5,235"
"200,207",33
"200,207","4,000"
"200,207","5,000"
"200,207","6,103"
"200,207","6,601"
"200,207","6,602"
"200,207","7,100"
"200,207","8,100"
"200,208",5
"200,208","4,000"
"200,208","5,000"
"200,208","6,101"
"200,208","6,103"
"200,208","6,105"
"200,208","6,106"
"200,208","6,107"
"200,208","6,108"
"200,208","6,109"
"200,208","6,110"
"200,208","6,111"
"200,208","6,112"
"200,208","6,113"
"200,208","6,114"
"200,208","6,601"
"200,208","6,602"
"200,208","6,603"
"200,208","6,604"
"200,208","7,100"
"200,208","8,100"
"200,209",56
"200,209","4,000"
"200,209","5,005"
"200,209","5,025"
"200,209","5,046"
"200,211",32
"200,211","4,000"
"200,211","5,005"
"200,211","5,024"
"200,211","5,025"
"200,211","5,026"
"200,211","5,043"
"200,211","5,044"
"200,211","5,045"
"200,211","5,046"
"200,211","5,077"
"200,211","5,133"
"200,211","5,161"
"200,211","5,164"
"200,211","5,194"
"200,211","5,196"
"200,211","5,235"
"200,211","5,245"
"200,211","6,103"
"200,211","6,601"
"200,211","6,602"
"200,211","6,603"
"200,211","7,100"
"200,211","8,100"
"200,213",16
"200,213",23
"200,213",44
"200,213",53
"200,213","4,000"
"200,213","5,005"
"200,213","5,024"
"200,213","5,025"
"200,213","5,043"
"200,213","5,046"
"200,213","5,196"
"200,213","5,245"
"200,213","6,103"
"200,213","6,600"
"200,213","7,102"
"200,213","7,103"
"200,213","7,108"
"200,213","7,109"
"200,213","7,110"
"200,213","7,111"
"200,213","7,112"
"200,213","8,100"
"200,215",26
"200,215",28
"200,215",43
"200,215",61
"200,215",71
"200,215","4,000"
"200,215","5,005"
"200,215","5,024"
"200,215","5,025"
"200,215","5,043"
"200,215","5,196"
"200,215","5,245"
