"Company ID","giving_type"
"32,984","Gifts-in-kind/Contra/Pro Bono"
"32,984","Sponsorship"
"32,987","Gifts-in-kind/Contra/Pro Bono"
"32,987","Scholarships and Education"
"32,987","Sponsorship"
"32,986","Gifts-in-kind/Contra/Pro Bono"
"32,986","Scholarships and Education"
"32,986","Sponsorship"
"32,986","Staff Involvement - Volunteering"
"32,938","Gifts-in-kind/Contra/Pro Bono"
"32,938","Scholarships and Education"
"32,938","Sponsorship"
"32,938","Staff Involvement - Fundraising"
"32,938","Staff Involvement - Mentoring"
"2,830","Donations"
"2,830","Gifts-in-kind/Contra/Pro Bono"
"2,830","Payroll or Employee Giving"
"2,830","Scholarships and Education"
"2,830","Sponsorship"
"2,830","Staff Involvement - Fundraising"
"32,985","Cause Related Marketing"
"32,985","Gifts-in-kind/Contra/Pro Bono"
"32,985","Payroll or Employee Giving"
"32,985","Sponsorship"
"32,985","Staff Involvement - Fundraising"
"32,852","Cause Related Marketing"
"32,852","Gifts-in-kind/Contra/Pro Bono"
"32,852","Sponsorship"
"32,852","Staff Involvement - Fundraising"
"32,878","Payroll or Employee Giving"
"3,481","Payroll or Employee Giving"
"3,481","Staff Involvement - Volunteering"
"32,977","Payroll or Employee Giving"
"32,977","Products, Equipment and Services"
"32,977","Sponsorship"
"32,977","Payroll or Employee Giving"
"32,977","Products, Equipment and Services"
"32,977","Sponsorship"
"32,967","Sponsorship"
"32,967","Staff Involvement - Fundraising"
"32,970","Sponsorship"
"33,024","Staff Involvement"
"5,034","Sponsorship"
"33,018","Gifts-in-kind/Contra/Pro Bono"
"33,018","Sponsorship"
"33,018","Staff Involvement"
"33,019","Cause Related Marketing"
"33,019","Gifts-in-kind/Contra/Pro Bono"
"33,019","Scholarships and Education"
"33,019","Sponsorship"
"33,019","Staff Involvement - Fundraising"
"33,019","Staff Involvement - Volunteering"
"5,035","Sponsorship"
"33,023","Gifts-in-kind/Contra/Pro Bono"
"33,023","Sponsorship"
"33,027","Donations"
"33,027","Sponsorship"
"32,963","Cause Related Marketing"
"32,963","Foundation Grants"
"32,963","Gifts-in-kind/Contra/Pro Bono"
"32,963","Sponsorship"
"33,025","Donations"
"33,025","Gifts-in-kind/Contra/Pro Bono"
"33,025","Sponsorship"
"33,025","Staff Involvement - Fundraising"
"33,022","Sponsorship"
"33,022","Staff Involvement"
"33,039","Sponsorship"
"33,039","Gifts-in-kind/Contra/Pro Bono"
"33,032","Donations"
"33,032","Gifts-in-kind/Contra/Pro Bono"
"33,032","Staff Involvement - Fundraising"
"33,032","Staff Involvement - Volunteering"
"33,033","Gifts-in-kind/Contra/Pro Bono"
"33,033","Sponsorship"
"33,033","Staff Involvement"
"33,055","Sponsorship"
"33,055","Staff Involvement"
"33,088","Gifts-in-kind/Contra/Pro Bono"
"3,573","Cause Related Marketing"
"3,552","Staff Involvement - Volunteering"
"2,834","Discounts"
